"ftgt";"fprop_s1";"fprop_s2";"biomass";"b1plus";"ssb";"rec";"ssbpr";"fbar";"pF_s1";"pF_s2";"yield";"pY_s1";"pY_s2";"YPR";"hr_b1plus";"hr_ssb";"conv";"rec0";"ssb0";"ssbpr0";"ratioR";"ratioB";"ratioSPR";"slope";"rslope";"fmsy";"f01"
1.04;0.3;0.7;46271.9751495382;46271.9751495382;25265.6951097292;2013221.10645127;0.0125498858663693;0.866666666666667;0.3;0.7;23011.6234413703;0.402997019496391;0.597002980503609;0.0114302514351904;0.497312322782918;0.910785289754766;1;2178637.18558723;1e+05;0.0459002539117343;0.924073599665758;0.252656951097292;0.273416480233478;3470.37896248101;0.0305440768162284;FALSE;FALSE
1.05;0.3;0.7;46057.4196633022;46057.4196633022;25072.5844148849;2011647.00829204;0.0124637097420846;0.875;0.3;0.7;23040.5432660576;0.403613124866049;0.596386875133951;0.0114535717106849;0.500256927862938;0.918953662087547;1;2178637.18558723;1e+05;0.0459002539117343;0.923351084613851;0.250725844148849;0.271539015144714;3371.71270614496;0.0296756789423133;FALSE;FALSE
1.06;0.3;0.7;45845.6504539797;45845.6504539797;24882.1523597781;2010073.28178168;0.0123787289673953;0.883333333333333;0.3;0.7;23068.6408719422;0.404227605473057;0.595772394526943;0.0114765173394548;0.503180577514081;0.927115972058452;1;2178637.18558723;1e+05;0.0459002539117343;0.922628740149719;0.248821523597781;0.269687592386731;3275.39689590336;0.028827968205693;FALSE;FALSE
1.07;0.3;0.7;45636.6093687119;45636.6093687119;24694.3436133212;2008499.92694193;0.0122949188506668;0.891666666666667;0.3;0.7;23095.9358460747;0.404840468337751;0.595159531662249;0.011499097180073;0.506083518595251;0.935272312061606;1;2178637.18558723;1e+05;0.0459002539117343;0.921906566283344;0.246943436133212;0.267861674018401;3181.21929287995;0.0279990766142516;FALSE;FALSE
1.08;0.3;0.7;45430.2377053803;45430.2377053803;24509.1030670962;2006926.93275902;0.0122122547996316;0.9;0.3;0.7;23122.4460068487;0.40545171871321;0.59454828128679;0.0115213193013765;0.508965992139423;0.94342277412391;1;2178637.18558723;1e+05;0.0459002539117343;0.921184557959368;0.245091030670962;0.266060724263435;3089.25968919824;0.0271897064477047;FALSE;FALSE
1.09;0.3;0.7;45226.4805708877;45226.4805708877;24326.3784340595;2005354.29940094;0.0121307134810674;0.908333333333333;0.3;0.7;23148.189837592;0.406061363842219;0.593938636157781;0.0115431920656151;0.511828237470517;0.951567447671623;1;2178637.18558723;1e+05;0.0459002539117343;0.92046271525491;0.243263784340595;0.264284234775579;2999.40504965301;0.0263988628417943;FALSE;FALSE
1.1;0.3;0.7;45025.2838479627;45025.2838479627;24146.1184077153;2003782.02326637;0.0120502719993239;0.916666666666667;0.3;0.7;23173.1848796725;0.406669410422068;0.593330589577932;0.0115647234133271;0.514670489539201;0.959706421064683;1;2178637.18558723;1e+05;0.0459002539117343;0.919741036516948;0.241461184077152;0.262531706741676;2911.59394186326;0.0256260051076261;FALSE;FALSE
1.11;0.3;0.7;44826.5948981396;44826.5948981396;23968.2730678172;2002210.1007635;0.0119709080773678;0.925;0.3;0.7;23197.4481625213;0.407275865241311;0.592724134758689;0.0115859210547762;0.517492979674975;0.96783978123435;1;2178637.18558723;1e+05;0.0459002539117343;0.919019520096837;0.239682730678172;0.260802654826;2825.76709461254;0.0248706115775067;FALSE;FALSE
1.12;0.3;0.7;44630.3625122887;44630.3625122887;23792.7938341622;2000638.52831272;0.0118926000361636;0.933333333333333;0.3;0.7;23220.9962216431;0.407880735176881;0.592119264823119;0.011606792478013;0.520295935648054;0.975967613702511;1;2178637.18558723;1e+05;0.0459002539117343;0.918298164351521;0.237927938341622;0.259096606721021;2741.86730929764;0.0241321788255714;FALSE;FALSE
1.13;0.3;0.7;44436.5368630974;44436.5368630974;23619.6334222045;1999067.30234909;0.0118153267748661;0.941666666666667;0.3;0.7;23243.8451158872;0.408484027191281;0.591515972808719;0.0116273449566073;0.523079581730192;0.984090002600804;1;2178637.18558723;1e+05;0.0459002539117343;0.917576967644688;0.236196334222045;0.257413102715877;2659.83937549984;0.0234102209246955;FALSE;FALSE
1.14;0.3;0.7;44245.0694594139;44245.0694594139;23448.7458004079;1997496.41932472;0.0117390677517885;0.95;0.3;0.7;23266.0104440164;0.409085748329817;0.590914251670183;0.0116475855570654;0.525844138754452;0.992207030689536;1;2178637.18558723;1e+05;0.0459002539117343;0.916855928347848;0.234487458004079;0.255751695281743;2579.62999047349;0.0227042687378842;FALSE;FALSE
1.15;0.3;0.7;44055.9131023699;44055.9131023699;23280.0861492579;1995925.87571103;0.0116638029661119;0.958333333333333;0.3;0.7;23287.5073606037;0.40968590571789;0.59031409428211;0.0116675211459482;0.528589824173931;1.00031877937642;1;2178637.18558723;1e+05;0.0459002539117343;0.91613504484137;0.232800861492579;0.254111948673341;2501.18768234814;0.0220138692423462;FALSE;FALSE
1.16;0.3;0.7;43869.0218432015;43869.0218432015;23113.6108218595;1994355.66800082;0.0115895129403017;0.966666666666667;0.3;0.7;23308.3505912899;0.410284506558343;0.589715493441656;0.011687158396704;0.531316852119466;1.00842532873515;1;2178637.18558723;1e+05;0.0459002539117343;0.915414315515441;0.231136108218595;0.252493438545856;2424.46273686289;0.0213385848846554;FALSE;FALSE
1.17;0.3;0.7;43684.3509426938;43684.3509426938;22949.277306049;1992785.79271026;0.0115161787031998;0.975;0.3;0.7;23328.5544474305;0.410881558128862;0.589118441871137;0.0117065037962273;0.534025433456329;1.01652675752371;1;2178637.18558723;1e+05;0.0459002539117343;0.914693738770977;0.22949277306049;0.250895751586588;2349.40712743283;0.020677992965241;FALSE;FALSE
1.18;0.3;0.7;43501.8568321765;43501.8568321765;22787.0441879548;1991216.24638079;0.0114437817737638;0.983333333333333;0.3;0.7;23348.1328401591;0.411477067779422;0.588522932220578;0.0117255636511586;0.536715775839928;1.02462314320261;1;2178637.18558723;1e+05;0.0459002539117343;0.913973313020486;0.227870441879548;0.249318485160672;2275.97444837722;0.0200316850507035;FALSE;FALSE
1.19;0.3;0.7;43321.4970760023;43321.4970760023;22626.8711169411;1989647.02558083;0.0113723041454229;0.991666666666667;0.3;0.7;23367.0992938955;0.412071042929787;0.587928957070213;0.011744344093935;0.53938808377053;1.03271456195286;1;2178637.18558723;1e+05;0.0459002539117343;0.913253036688867;0.226268711169411;0.24776124697026;2204.11985118394;0.0193992664128549;FALSE;FALSE
1.2;0.3;0.7;43143.2303354444;43143.2303354444;22468.7187718755;1988078.12690744;0.0113017282710246;1;0.3;0.7;23385.4669593221;0.412663491067063;0.587336508932937;0.0117628510886035;0.542042558647022;1.04080108869376;1;2178637.18558723;1e+05;0.0459002539117343;0.912532908214165;0.224687187718755;0.246223654726568;2133.79998359626;0.0187803554925992;FALSE;FALSE
